layer,head,auc
15,6,0.7822814128546614
13,11,0.779297135985034
15,9,0.7781167876709277
16,8,0.7727272727272728
13,6,0.760589728742595
16,10,0.7513028372900985
18,5,0.7484967262037326
15,11,0.7468486927085654
16,7,0.7466482562023963
14,7,0.745401095719567
13,7,0.744666161863614
16,3,0.7441984766825531
15,0,0.7420159458376019
15,5,0.7375840719789764
16,2,0.7366264308939467
16,6,0.7361364749899781
16,9,0.7343548171573648
12,1,0.7338648612533962
18,0,0.732751325108013
17,3,0.7305910649859695
13,4,0.7291880094427865
14,6,0.7251124671506837
13,9,0.7223286267872254
13,2,0.721415527148011
12,0,0.7210369248585808
16,0,0.7192552670259676
13,10,0.7191216426885215
17,5,0.7170727361810164
19,1,0.7163155316021559
15,7,0.7147788517215268
12,11,0.7141775422030199
12,6,0.7137766691906818
16,11,0.7123958843704067
14,9,0.7118613870206227
16,1,0.7111264531646697
17,4,0.7109482873814086
18,4,0.7099015634047481
15,2,0.7095452318382255
15,8,0.7091889002717027
12,7,0.7066723085831365
19,8,0.7056033138835687
14,11,0.7052692530399537
12,10,0.7039107389425862
13,5,0.703910738942586
18,3,0.7026413077368491
15,1,0.7025522248452185
11,10,0.7024631419535878
20,10,0.7021068103870651
14,8,0.7014386886998352
12,9,0.7013496058082045
11,2,0.7003251525544518
15,10,0.7002583403857288
11,5,0.6984766825531157
18,1,0.697919914480424
18,2,0.6965391296601486
8,0,0.6953810520689501
17,2,0.6945570353213666
13,8,0.6940448086944901
14,2,0.6935325820676139
11,1,0.6913500512226627
16,4,0.6911718854394013
20,0,0.6904369515834485
7,5,0.6878980891719745
24,2,0.6878312770032515
19,11,0.6876531112199902
17,0,0.6871854260389292
13,1,0.6864504921829762
24,4,0.6861609727851766
11,7,0.6857600997728386
13,3,0.684869270856532
19,5,0.6839561712173178
10,10,0.6827758229032114
24,5,0.6815286624203821
12,2,0.6807046456727985
8,2,0.6769186227784953
8,4,0.6766291033806956
27,11,0.6764063961516191
19,2,0.6757382744643892
9,10,0.6755823794040354
14,10,0.6755601086811278
18,10,0.6754042136207741
11,9,0.6748251748251748
20,1,0.6740234288004988
11,3,0.6735557436194379
20,6,0.6733330363903612
12,5,0.6729989755467461
10,11,0.6723976660282392
10,6,0.6708609861476102
13,0,0.6696806378335041
19,3,0.6686116431339362
10,7,0.6678989800008908
14,0,0.6663845708431695
16,5,0.6653155761436016
11,6,0.6643802057814797
19,0,0.6634002939735424
12,3,0.6633780232506346
9,6,0.662821255177943
19,7,0.6623312992739744
24,1,0.6616631775867444
17,7,0.6609505144536991
18,9,0.6608614315620684
10,3,0.6595697296334239
21,2,0.658968420114917
3,6,0.6587679836087479
