layer,test_topic,train_topics,avg_accuracy,avg_auc,avg_threshold
14,cities,"inventions,elements,animals,companies,facts",0.8044,0.925,0.5541
14,inventions,"cities,elements,animals,companies,facts",0.7519,0.8507,0.5196
14,elements,"cities,inventions,animals,companies,facts",0.6566,0.7369,0.5136
14,animals,"cities,inventions,elements,companies,facts",0.6653,0.7733,0.5157
14,companies,"cities,inventions,elements,animals,facts",0.825,0.9113,0.5176
14,facts,"cities,inventions,elements,animals,companies",0.6874,0.8064,0.4854
16,cities,"inventions,elements,animals,companies,facts",0.8214,0.9086,0.5171
16,inventions,"cities,elements,animals,companies,facts",0.7694,0.8641,0.4483
16,elements,"cities,inventions,animals,companies,facts",0.6609,0.7097,0.5189
16,animals,"cities,inventions,elements,companies,facts",0.6743,0.7871,0.5101
16,companies,"cities,inventions,elements,animals,facts",0.8494,0.9242,0.5558
16,facts,"cities,inventions,elements,animals,companies",0.7288,0.8612,0.5689
18,cities,"inventions,elements,animals,companies,facts",0.8075,0.9117,0.5631
18,inventions,"cities,elements,animals,companies,facts",0.7664,0.8644,0.4711
18,elements,"cities,inventions,animals,companies,facts",0.6229,0.6942,0.4908
18,animals,"cities,inventions,elements,companies,facts",0.6584,0.7543,0.4901
18,companies,"cities,inventions,elements,animals,facts",0.8117,0.9132,0.6083
18,facts,"cities,inventions,elements,animals,companies",0.7418,0.8512,0.5122
20,cities,"inventions,elements,animals,companies,facts",0.8377,0.9331,0.4504
20,inventions,"cities,elements,animals,companies,facts",0.7344,0.8587,0.556
20,elements,"cities,inventions,animals,companies,facts",0.6692,0.7487,0.5237
20,animals,"cities,inventions,elements,companies,facts",0.6538,0.758,0.583
20,companies,"cities,inventions,elements,animals,facts",0.7478,0.8968,0.4633
20,facts,"cities,inventions,elements,animals,companies",0.713,0.8435,0.5357
22,cities,"inventions,elements,animals,companies,facts",0.783,0.8867,0.466
22,inventions,"cities,elements,animals,companies,facts",0.6267,0.7691,0.4984
22,elements,"cities,inventions,animals,companies,facts",0.69,0.7601,0.5043
22,animals,"cities,inventions,elements,companies,facts",0.6336,0.7688,0.4673
22,companies,"cities,inventions,elements,animals,facts",0.7589,0.875,0.4771
22,facts,"cities,inventions,elements,animals,companies",0.6645,0.8366,0.5071
24,cities,"inventions,elements,animals,companies,facts",0.7636,0.8667,0.4072
24,inventions,"cities,elements,animals,companies,facts",0.6781,0.7817,0.4763
24,elements,"cities,inventions,animals,companies,facts",0.6717,0.7629,0.4884
24,animals,"cities,inventions,elements,companies,facts",0.6022,0.723,0.5034
24,companies,"cities,inventions,elements,animals,facts",0.7203,0.8497,0.5968
24,facts,"cities,inventions,elements,animals,companies",0.6977,0.8267,0.5202
26,cities,"inventions,elements,animals,companies,facts",0.7308,0.8439,0.6375
26,inventions,"cities,elements,animals,companies,facts",0.6282,0.761,0.4821
26,elements,"cities,inventions,animals,companies,facts",0.6516,0.7402,0.5048
26,animals,"cities,inventions,elements,companies,facts",0.588,0.7168,0.5851
26,companies,"cities,inventions,elements,animals,facts",0.7181,0.8077,0.5438
26,facts,"cities,inventions,elements,animals,companies",0.6819,0.8006,0.5378
28,cities,"inventions,elements,animals,companies,facts",0.7386,0.8161,0.4908
28,inventions,"cities,elements,animals,companies,facts",0.6233,0.7423,0.455
28,elements,"cities,inventions,animals,companies,facts",0.6763,0.7508,0.5548
28,animals,"cities,inventions,elements,companies,facts",0.5982,0.6986,0.557
28,companies,"cities,inventions,elements,animals,facts",0.6419,0.742,0.4459
28,facts,"cities,inventions,elements,animals,companies",0.6727,0.7882,0.5236
