position,position_index,layer,test_topic,avg_accuracy,avg_auc,avg_threshold
first,0,16,cities,0.5038,0.501,0.6728
first,0,16,inventions,0.5209,0.5002,0.5388
first,0,16,elements,0.5,0.5,0.4853
first,0,16,animals,0.5,0.4928,0.5225
first,0,16,companies,0.5,0.5,inf
first,0,16,facts,0.4989,0.4841,0.5147
second,1,16,cities,0.5148,0.5041,0.4698
second,1,16,inventions,0.5175,0.5034,0.4981
second,1,16,elements,0.5,0.5,0.5165
second,1,16,animals,0.4901,0.4938,0.479
second,1,16,companies,0.4997,0.4994,0.5072
second,1,16,facts,0.4793,0.4731,0.5092
second_to_last,-2,16,cities,0.5339,0.541,0.5263
second_to_last,-2,16,inventions,0.5799,0.6513,0.5517
second_to_last,-2,16,elements,0.5885,0.6527,0.5244
second_to_last,-2,16,animals,0.6653,0.7574,0.5137
second_to_last,-2,16,companies,0.6894,0.7788,0.4963
second_to_last,-2,16,facts,0.6661,0.761,0.521
last,-1,16,cities,0.8114,0.9062,0.5009
last,-1,16,inventions,0.7694,0.8703,0.4953
last,-1,16,elements,0.6663,0.7215,0.4993
last,-1,16,animals,0.6776,0.7822,0.5251
last,-1,16,companies,0.8503,0.9185,0.5159
last,-1,16,facts,0.7288,0.865,0.5102
