dataset,layer,avg_accuracy,avg_auc,avg_threshold,avg_test_accuracy
cities,-1,0.5163999795913696,0.5,inf,0.4836
inventions,-1,0.5296803712844849,0.5,inf,0.4703196347031963
elements,-1,0.5,0.5,inf,0.5
animals,-1,0.5,0.5,inf,0.5
companies,-1,0.5299999912579855,0.5726967592592592,0.4775387446085612,0.538611111111111
facts,-1,0.5,0.5,inf,0.5
cities,-5,0.5502000053723654,0.5673890731938381,0.46102028091748554,0.5468000000000001
inventions,-5,0.5985540548960367,0.6352422999665217,0.5112953583399454,0.593607305936073
elements,-5,0.5759856502215067,0.6097845608355493,0.5406840642293295,0.5720430107526882
animals,-5,0.5968915422757467,0.6559120947761822,0.4971306224664052,0.5978835978835978
companies,-5,0.601111114025116,0.6542263888888888,0.4978206753730774,0.6002777777777778
facts,-5,0.6318082809448242,0.7336334315861421,0.4936703642209371,0.6399782135076252
cities,-9,0.5209999879201254,0.5678153050844887,0.565892368555069,0.5229666666666667
inventions,-9,0.5898021260897318,0.6386110646133244,0.4976033866405487,0.5920852359208524
elements,-9,0.5863799254099528,0.613177631325394,0.4746645390987396,0.5863799283154122
animals,-9,0.6091269850730896,0.677675815696649,0.5154804587364197,0.605489417989418
companies,-9,0.6411110957463583,0.6888578703703704,0.5239997506141663,0.6405555555555555
facts,-9,0.6339869300524393,0.7374994660173436,0.502614160378774,0.6328976034858388
cities,-13,0.5581666628519694,0.6127406842710995,0.5025840799013773,0.5587666666666666
inventions,-13,0.594748874505361,0.6511829036937842,0.49664772550264996,0.5985540334855403
elements,-13,0.6050179402033488,0.6485327783558792,0.501445084810257,0.6103942652329749
animals,-13,0.6266534527142843,0.6981705876795162,0.43461469809214276,0.6326058201058201
companies,-13,0.6949999928474426,0.7765328703703703,0.516192893187205,0.6977777777777777
facts,-13,0.6350762446721395,0.7456302419297423,0.516061007976532,0.6394335511982571
cities,-17,0.5483000079790751,0.6089939934312264,0.4317377706368764,0.5477333333333334
inventions,-17,0.6152968009312948,0.6716483232898115,0.5066716074943542,0.6156773211567731
elements,-17,0.6089605689048767,0.6739445793347979,0.47164927919705707,0.6082437275985663
animals,-17,0.6689814726511637,0.7526409097589654,0.5036369065443674,0.6703042328042329
companies,-17,0.7011110981305441,0.8081791666666667,0.4822553793589274,0.6972222222222223
facts,-17,0.6688453157742819,0.7627283665826535,0.5091161032517751,0.6721132897603486
